Room_URI,Room,Capacity,Institute,Approval Mode,Availability,Building,Address,Room Number
/events/roomSchedule.xhtml?windowId=ae2&roomCode=WA02A19,Seminarraum 280/1,60,E280,via TISS,Verfügbar bis 30.06.18 00:00,Alte Wirtschaftsuniversität Wien (WUW),"Augasse 2-6, WU 2.OG",WA 02 A19
/events/roomSchedule.xhtml?windowId=ae2&roomCode=WB02A23,Seminarraum 280/2,72,E280,via TISS,Verfügbar bis 30.06.18 00:00,Alte Wirtschaftsuniversität Wien (WUW),"Augasse 2-6, WU 2.OG",WB 02 A23
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SR+3%2F2,Seminarraum 3/2,0,E401,persönlich,Nicht mehr Verfügbar,Perlmooser-Haus,"Operngasse 11,",DF0208
/events/roomSchedule.xhtml?windowId=ae2&roomCode=2533,Seminarraum 3/253,20,E401,persönlich,Verfügbar,Hauptgebäude,"Karlsplatz 13, Stiege 7",AFDG22
/events/roomSchedule.xhtml?windowId=ae2&roomCode=WD02A02,Seminarraum 3/4,42,E280,via TISS,Verfügbar bis 30.06.18 00:00,Alte Wirtschaftsuniversität Wien (WUW),"Augasse 2-6, WU 2.OG",WA 02 A02
/events/roomSchedule.xhtml?windowId=ae2&roomCode=351,Seminarraum 351,36,E354,via TISS,Verfügbar,Elektrot.Institutsg.,"Gußhausstr. 25-29, Stiege 1",CA0138
/events/roomSchedule.xhtml?windowId=ae2&roomCode=354,Seminarraum 354,20,E354,via TISS,Verfügbar,Elektrot.Institutsg.,"Gußhausstr. 25-29, Stiege 8",CF0153
/events/roomSchedule.xhtml?windowId=ae2&roomCode=362,Seminarraum 362,30,,persönlich,Verfügbar,Institutsgebäude,"Floragasse 7,",GA01A15
/events/roomSchedule.xhtml?windowId=ae2&roomCode=3621,Seminarraum 362/1,10,E362,via TISS,Verfügbar,Institutsgebäude,"Floragasse 7, Floragasse 7, 1. Stock",GA01K09
/events/roomSchedule.xhtml?windowId=ae2&roomCode=366M,Seminarraum 366-MST,30,E366,persönlich,Verfügbar,Institutsgebäude,"Floragasse 7, 2. Stock",GA02A12
/events/roomSchedule.xhtml?windowId=ae2&roomCode=384,Seminarraum 384,36,E384,via TISS,Verfügbar,Elektrot.Institutsg.,"Gußhausstr. 25-29,",CD0404
/events/roomSchedule.xhtml?windowId=ae2&roomCode=387,Seminarraum 387,30,E387,via TISS,Verfügbar,Elektrot.Institutsg.,"Gußhausstr. 25-29, Stiege 2, Erdgeschoß",CBEG02
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SR+4%2F2,Seminarraum 4/2,0,E401,persönlich,Nicht mehr Verfügbar,Perlmooser-Haus,"Operngasse 11,",DF0212
/events/roomSchedule.xhtml?windowId=ae2&roomCode=WC02A23,Seminarraum 4/2,70,E280,via TISS,Verfügbar bis 30.06.18 00:00,Alte Wirtschaftsuniversität Wien (WUW),"Augasse 2-6, WU 2.OG",WC02A23
/events/roomSchedule.xhtml?windowId=ae2&roomCode=2534,Seminarraum 4/253,20,E401,persönlich,Verfügbar,Hauptgebäude,"Karlsplatz 13, Stiege 7, Dachgeschoß",AFDG18
